,Unnamed: 0,Date,Open,High,Low,Close,Adj Close,Volume,Label,Short_Moving_Avg,Long_Moving_Avg,RSI,DaysSincePeak,DaysSincePeakTrough,CPI_Difference_Change,Interest_Rate_Difference_Change,FDI_Difference_Change,M2_Difference_Change
0,19,2022-12-09,136.613998,136.865997,135.612,136.613998,136.613998,0,Hold,136.2015992,138.4917496,36.68300663162122,0.0,0.0,0.0025862370251283906,0.03000000000000025,0.0027945205479452673,-4.254016500136737e-06
1,20,2022-12-12,136.712006,137.617996,136.632996,136.712006,136.712006,0,Hold,136.6489992,138.34970019999997,27.40018887161329,0.0,0.0,0.0025862370251283906,-0.11000000000000032,0.0027945205479451563,-4.254016500136737e-06
2,21,2022-12-13,137.503998,137.942001,134.688004,137.503998,137.503998,0,Sell,136.81940020000002,138.21914984999998,34.4836534420057,0.0,0.0,0.0025862370251285016,0.0,0.0027945205479452673,-4.254016500129798e-06
3,22,2022-12-14,135.584,135.682007,134.681,135.584,135.584,0,Hold,136.5589998,138.05010005,34.35808087625908,1.0,0.0,0.0025862370251283906,0.010000000000000675,0.0027945205479451563,-4.254016500136737e-06
4,23,2022-12-15,135.348007,137.921005,135.283005,135.348007,135.348007,0,Buy,136.3524018,137.8514001,35.684805810605695,2.0,0.0,0.0025862370251285016,-0.040000000000000036,0.0027945205479451563,-4.254016500136737e-06
5,24,2022-12-16,137.751007,137.751007,136.410004,137.751007,137.751007,0,Sell,136.5798036,137.7183503,44.91902256836997,0.0,1.0,0.0025862370251283906,0.007999999999999119,0.0027945205479452673,-4.254016500136737e-06
6,25,2022-12-19,136.029999,137.149994,135.772995,136.690002,136.690002,0,Buy,136.57540279999998,137.5402001,42.73022664010879,3.0,0.0,0.0025862370251285016,0.0,0.0027945205479451563,-4.254016500129798e-06
7,26,2022-12-20,136.994995,137.451996,131.016998,136.994995,136.994995,0,Sell,136.47360220000002,137.2850495,43.852738306503134,0.0,1.0,0.0025862370251283906,-0.040000000000000036,0.0027945205479452673,-4.254016500136737e-06
8,27,2022-12-21,131.891998,132.475998,131.522003,131.891998,131.891998,0,Buy,135.7352018,136.82189945,34.772426858572985,1.0,0.0,0.0025862370251285016,0.040000000000000036,0.0027945205479451563,-4.254016500136737e-06
9,28,2022-12-22,132.369995,132.681,131.654999,132.369995,132.369995,0,Sell,135.13959939999998,136.4764992,41.430321739746354,0.0,1.0,0.0025862370251283906,-0.004999999999999005,0.0027945205479452673,-4.254016500136737e-06
10,29,2022-12-23,132.356995,133.121002,132.291,132.356995,132.356995,0,Buy,134.060797,136.1641991,43.1931705808946,1.0,0.0,0.0025862370251283906,0.08999999999999986,0.0027945205479451563,-4.254016500136737e-06
11,31,2022-12-27,132.764008,133.587006,132.647995,132.764008,132.764008,0,Buy,132.4345978,135.55094915,34.8522619332157,1.0,0.0,0.0025862370251283906,-0.040000000000000036,0.0027945205479451563,-4.254016500136737e-06
12,32,2022-12-28,133.485992,134.395004,133.410995,133.485992,133.485992,0,Hold,132.75339660000003,135.287999,39.52826715511034,2.0,1.0,0.0025862370251285016,0.0,0.0027945205479453783,-4.254016500136737e-06
13,33,2022-12-29,134.033997,134.188004,132.936005,134.033997,134.033997,0,Sell,133.08619700000003,135.12174915,40.875621686446095,0.0,2.0,0.0025862370251283906,0.020000000000000462,0.0027945205479451563,-4.254016500129798e-06
14,34,2022-12-30,132.916,132.917007,131.541,132.916,132.916,0,Hold,133.197998,135.01004945000005,37.47849312545284,1.0,3.0,0.0025862370251285016,-0.020000000000000462,0.0027945205479451563,-4.254016500136737e-06
